Clusters,Year,Clay%,innundation_length,ZONE,SEASON,Pool,Richness,CWV.LA,CWM.LA,CWV.H,CWM.H,PC1_Mean,PC1_Variance
A1_B_E,1,76,5,B,E,A,2,5.971987315,9.5,38.21353066,25,-1.09130951,-1.299068805
A1_B_L,1,76,5,B,L,A,7,74.24535159,37.22428571,111.9217759,50.85714286,2.324443936,-0.971745838
A1_B_M,1,76,5,B,M,A,8,647.701105,11.3775,681.9915433,24.25,-1.039661834,1.661545266
A1_E_E,1,22,4,E,E,A,1,5.818181818,,36.36363636,,,-1.234822026
A1_E_L,1,22,4,E,L,A,3,35.64237183,7.583333333,100.8308668,22.33333333,-1.885769311,-0.856132358
A1_E_M,1,22,4,E,M,A,5,6.268598044,13.23,43.41807611,28.4,-0.922660284,-1.213613876
A1_U_E,1,15,0,U,E,A,4,86.57505285,30,287.4603594,48.75,-0.259868839,-0.943623945
A1_U_L,1,15,0,U,L,A,9,123.7862738,93.17777778,362.8816068,58.11111111,1.719517735,-0.815226805
A1_U_M,1,15,0,U,M,A,10,10344.82108,21.35,831.6844609,39.8,-1.015894113,1.505690332
A2_B_E,2,76,4,B,E,A,7,5.971987315,5.145714286,38.21353066,25.42857143,-1.305256189,-1.299068805
A2_B_L,2,76,4,B,L,A,12,74.00043869,25.50166667,87.65486258,48.25,1.478280965,-1.029714356
A2_B_M,2,76,4,B,M,A,8,639.6187896,24.5025,356.5792812,37.25,0.631914763,0.873457691
A2_E_E,2,22,2,E,E,A,6,5.895183668,13.69166667,39.12896406,32,-0.66006177,-1.227224454
A2_E_L,2,22,2,E,L,A,7,67.66948599,27.30714286,398.8541226,34.85714286,0.965004432,0.133311194
A2_E_M,2,22,2,E,M,A,6,36.64280523,13.69166667,21.68710359,32,-0.66006177,-1.050532015
A2_U_E,2,15,0,U,E,A,7,5.113636364,21.12857143,36.36363636,42.85714286,-0.827393791,-1.364623907
A2_U_L,2,15,0,U,L,A,11,111.1583668,26.82727273,671.8816068,51.54545455,-0.152726821,-0.314350112
A2_U_M,2,15,0,U,M,A,8,10488.42953,20.0625,864.5216702,43.75,-0.794330603,1.581014258
A3_B_E,3,76,0,B,E,A,4,5.971987315,5.8925,38.21353066,25,-1.294070178,-1.299068805
A3_B_L,3,76,0,B,L,A,8,150.301653,26.52125,262.8731501,50.5,1.697220365,-0.444219562
A3_B_M,3,76,0,B,M,A,6,710.1710835,5.028333333,836.3023256,27.33333333,-1.175021115,2.166590461
A3_E_E,3,22,0,E,E,A,5,35.50162791,13.23,95.91701903,28.4,-0.922660284,-0.869661018
A3_E_L,3,22,0,E,L,A,8,169.7942112,20.59375,842.6273784,47.75,1.010844821,1.99811165
A3_E_M,3,22,0,E,M,A,6,145.5148626,17.69166667,791.3995772,27.83333333,-0.479162191,1.693020814
A3_U_E,3,15,0,U,E,A,5,73.08439746,20.38,297.0798097,46,-0.645047455,-0.930027776
A3_U_L,3,15,0,U,L,A,15,212.685851,20.38,928.3229387,51,-0.328800205,0.118405398
A3_U_M,3,15,0,U,M,A,11,10479.41812,22.59090909,1349.953488,43,-0.786247131,2.36953032
B1_B_E,1,82,3,B,E,B,2,7.589537632,9.5,109.1141649,25,-1.09130951,-1.127681968
B1_B_L,1,82,3,B,L,B,5,583.3155419,45.7,413.807611,39.2,1.963409171,0.882764849
B1_B_M,1,82,3,B,M,B,6,661.0574023,14.18333333,904.0438689,24.16666667,-0.887945514,2.216876692
B1_E_E,1,27,2,E,E,B,2,40.34173758,9.125,150.1437632,26,-1.503743212,-0.696727741
B1_E_L,1,27,2,E,L,B,3,40.34173758,15.58333333,150.1437632,17.33333333,-1.326530436,-0.696727741
B1_E_M,1,27,2,E,M,B,6,288.0617693,17.525,213.602537,42,0.342135808,1.24638163
B1_U_E,1,17,0,U,E,B,1,90.322426,,360.5708245,,,-0.824088088
B1_U_L,1,17,0,U,L,B,7,100.6583668,120.3714286,352.6955603,63.57142857,2.662016848,-0.835327036
B1_U_M,1,17,0,U,M,B,8,347.8662315,21.1875,632.8472516,52.5,-0.216194385,-0.341782875
B2_B_E,2,82,3,B,E,B,5,7.000438689,6.02,84.01849894,25.8,-1.229434347,-1.18838236
B2_B_L,2,82,3,B,L,B,8,7.000438689,41.5125,84.01849894,45.75,2.198582204,-1.18838236
B2_B_M,2,82,3,B,M,B,5,723.0932505,6.02,574.0359408,25.8,-1.229434347,1.574962555
B2_E_E,2,27,2,E,E,B,5,12.64342891,9.23,128.1115222,31.4,-1.172663764,-0.952039231
B2_E_L,2,27,2,E,L,B,7,12.64342891,20.87857143,128.1115222,39,0.523020039,-0.952039231
B2_E_M,2,27,2,E,M,B,5,123.4098137,9.23,308.8641649,31.4,-1.172663764,0.304943777
B2_U_E,2,17,0,U,E,B,4,11.95773256,10.725,126.6781184,36.25,-1.473740777,-1.216621785
B2_U_L,2,17,0,U,L,B,12,31.77887421,76.425,308.5623679,59.75,1.455307447,-0.917640053
B2_U_M,2,17,0,U,M,B,6,10454.46856,13.41666667,1142.678118,46.66666667,-0.755786856,2.028450641
B3_B_E,3,82,0,B,E,B,4,2.476653013,6.025,143.5010571,23.5,-1.394378573,-1.057767886
B3_B_L,3,82,0,B,L,B,9,582.8580484,33.96111111,473.6490486,41.33333333,1.45687365,1.023336002
B3_B_M,3,82,0,B,M,B,5,662.4406395,6.02,712.6020085,25.8,-1.229434347,1.766988218
B3_E_E,3,27,0,E,E,B,3,7.335183668,9.3,96.69503171,31.66666667,-1.14938385,-1.070237026
B3_E_L,3,27,0,E,L,B,7,40.10494054,24.67857143,559.0417548,55.42857143,1.902430055,0.343110359
B3_E_M,3,27,0,E,M,B,6,288.0404902,17.525,314.0676533,42,0.342135808,1.502132376
B3_U_E,3,17,0,U,E,B,3,11.95773256,8.966666667,126.6781184,31.66666667,-1.802244792,-1.216621785
B3_U_L,3,17,0,U,L,B,11,156.7587526,88.83636364,835.4122622,72.72727273,2.548650137,-0.041303396
B3_U_M,3,17,0,U,M,B,6,10630.75253,18.25,1226.208774,50.83333333,-0.386113797,2.191243459
C1_B_E,1,73,4,B,E,C,2,6.340206501,9.5,67.97040169,25,-1.09130951,-1.227833864
C1_B_L,1,73,4,B,L,C,11,6.99832278,30.31818182,107.0866808,46,1.58736131,-1.133803545
C1_B_M,1,73,4,B,M,C,8,590.291198,18.86875,704.8033827,31.25,-0.115754318,1.586938042
C1_E_E,1,38,2,E,E,C,3,35.64237183,19.8,100.8308668,38.33333333,0.368206053,-0.856132358
C1_E_L,1,38,2,E,L,C,7,69.20896802,24.54285714,111.2827696,65.14285714,2.463314579,-0.588116661
C1_E_M,1,38,2,E,M,C,11,99.21944371,21.22272727,572.7336152,53.90909091,1.442912845,0.803105503
C1_U_E,1,20,0,U,E,C,5,69.5120666,22.48,312.7378436,43,-0.78868255,-0.905093745
C1_U_L,1,20,0,U,L,C,14,141.4025529,75.75714286,517.3081395,62.85714286,1.637167254,-0.5612601
C1_U_M,1,20,0,U,M,C,15,160.4825529,23.23333333,941.2193446,50.33333333,-0.308311034,0.131432473
C2_B_E,2,73,2,B,E,C,6,6.335110994,4.075,59.65539112,28,-1.180712136,-1.247520118
C2_B_L,2,73,2,B,L,C,12,7.000438689,27.04166667,84.01849894,39.75,0.954222086,-1.18838236
C2_B_M,2,73,2,B,M,C,8,707.5276044,25.05625,559.0443975,41,0.932427453,1.504626551
C2_E_E,2,38,1,E,E,C,4,7.286485201,7.5375,74.88107822,29.25,-1.480982617,-1.12615153
C2_E_L,2,38,1,E,L,C,7,67.66948599,26.43571429,398.8541226,40.57142857,1.210295188,0.133311194
C2_E_M,2,38,1,E,M,C,8,145.4202894,11.55625,676.2452431,47.125,0.007491935,1.399020687
C2_U_E,2,20,0,U,E,C,4,6.594519027,10.725,74.88107822,36.25,-1.473740777,-1.30172297
C2_U_L,2,20,0,U,L,C,14,67.68056554,82.76428571,478.1580338,61.21428571,1.687125143,-0.636202874
C2_U_M,2,20,0,U,M,C,9,10435.15573,22.28888889,1396.617336,62.22222222,0.422915884,2.438713941
C3_B_E,3,73,0,B,E,C,3,6.341834038,7.833333333,42.53435518,21.66666667,-1.424441919,-1.288016574
C3_B_L,3,73,0,B,L,C,12,86.94116279,26.33333333,340.7204017,45,1.291554586,-0.401930756
C3_B_M,3,73,0,B,M,C,7,671.6262896,13.51428571,859.2262156,40.71428571,0.263182857,2.134501633
C3_E_E,3,38,0,E,E,C,3,7.286485201,9.3,74.88107822,31.66666667,-1.14938385,-1.12615153
C3_E_L,3,38,0,E,L,C,10,142.6299934,29.505,679.2658562,58,2.570805635,1.386648471
C3_E_M,3,38,0,E,M,C,8,377.56956,20.80625,874.384778,52.875,1.337129908,3.573211143
C3_U_E,3,20,0,U,E,C,4,26.19599894,14.225,81.96353066,28.75,-1.871256226,-1.287210442
C3_U_L,3,20,0,U,L,C,15,194.1344767,79.34666667,555.6553911,68,2.041271392,-0.490823429
C3_U_M,3,20,0,U,M,C,8,10574.43047,28.7375,1469.826638,48.75,-0.287591689,2.579070301