Year,Season,Pool,SEASON_PRECIP,SEASON_MAXTEMP,SEASON_MEANTEMP,SEASON_HUMID,Pool_Depth,Pool_Clay%Bottom,YEAR_PRECIP,YEAR_MAXTEMP,YEAR_MEANTEMP,YEAR_MEANHUMID
1,E,A,2.9,58.51428571,46.11904762,74.52380952,0.47,84,13.96,67.28301887,51.35377359,72.5
1,E,B,2.9,58.51428571,46.11904762,74.52380952,182.21,78,13.96,67.28301887,51.35377359,72.5
1,E,C,2.9,58.51428571,46.11904762,74.52380952,380.09,75,13.96,67.28301887,51.35377359,72.5
2,E,A,0.02,71.88571429,51.55238095,65.66666667,0.47,84,9.56,69.30471698,52.20377359,72.23113208
2,E,B,0.02,71.88571429,51.55238095,65.66666667,182.21,78,9.56,69.30471698,52.20377359,72.23113208
2,E,C,0.02,71.88571429,51.55238095,65.66666667,380.09,75,9.56,69.30471698,52.20377359,72.23113208
3,E,A,0.45,66.21904762,49.87619048,67.23809524,0.47,84,7.84,69.2504717,51.78584906,71.28773585
3,E,B,0.45,66.21904762,49.87619048,67.23809524,182.21,78,7.84,69.2504717,51.78584906,71.28773585
3,E,C,0.45,66.21904762,49.87619048,67.23809524,380.09,75,7.84,69.2504717,51.78584906,71.28773585
1,L,A,0.08,72.34642857,57.26071429,67.39285714,0.47,84,13.96,67.28301887,51.35377359,72.5
1,L,B,0.08,72.34642857,57.26071429,67.39285714,182.21,78,13.96,67.28301887,51.35377359,72.5
1,L,C,0.08,72.34642857,57.26071429,67.39285714,380.09,75,13.96,67.28301887,51.35377359,72.5
2,L,A,2.18,69.36785714,55.22142857,72.46428571,0.47,84,9.56,69.30471698,52.20377359,72.23113208
2,L,B,2.18,69.36785714,55.22142857,72.46428571,182.21,78,9.56,69.30471698,52.20377359,72.23113208
2,L,C,2.18,69.36785714,55.22142857,72.46428571,380.09,75,9.56,69.30471698,52.20377359,72.23113208
3,L,A,0,78.06071429,58.48214286,56.82142857,0.47,84,7.84,69.2504717,51.78584906,71.28773585
3,L,B,0,78.06071429,58.48214286,56.82142857,182.21,78,7.84,69.2504717,51.78584906,71.28773585
3,L,C,0,78.06071429,58.48214286,56.82142857,380.09,75,7.84,69.2504717,51.78584906,71.28773585
1,M,A,1.78,65.56190476,51.20952381,70.90476191,0.47,84,13.96,67.28301887,51.35377359,72.5
1,M,B,1.78,65.56190476,51.20952381,70.90476191,182.21,78,13.96,67.28301887,51.35377359,72.5
1,M,C,1.78,65.56190476,51.20952381,70.90476191,380.09,75,13.96,67.28301887,51.35377359,72.5
2,M,A,1.78,69.10952381,53.97142857,70.23809524,0.47,84,9.56,69.30471698,52.20377359,72.23113208
2,M,B,1.78,69.10952381,53.97142857,70.23809524,182.21,78,9.56,69.30471698,52.20377359,72.23113208
2,M,C,1.78,69.10952381,53.97142857,70.23809524,380.09,75,9.56,69.30471698,52.20377359,72.23113208
3,M,A,1.39,64.1,49.98095238,71.61904762,0.47,84,7.84,69.2504717,51.78584906,71.28773585
3,M,B,1.39,64.1,49.98095238,71.61904762,182.21,78,7.84,69.2504717,51.78584906,71.28773585
3,M,C,1.39,64.1,49.98095238,71.61904762,380.09,75,7.84,69.2504717,51.78584906,71.28773585