species,genus,family,species.relative,genus.relative
Achyrachaena_mollis,Achyrachaena,Asteraceae,,
Acmispon_americanus,Acmispon,Fabaceae,,
Alopecurus_pratensis,Alopecurus,Poaceae,,
Amsinckia_menziesii,Amsinckia,Boraginaceae,,
Avena_fatua,Avena,Poaceae,,
Briza_minor,Briza,Poaceae,,
Brodiaea_coronaria,Brodiaea,Asparagaceae,,
Brodiaea_elegans,Brodiaea,Asparagaceae,,
Bromus_hordeaceus,Bromus,Poaceae,,
Calandrinia_menziesii,Calandrinia,Montiaceae,,
Capsella_bursa-pastoris,Capsella,Brassicaceae,,
Castilleja_attenuata,Castilleja,Orobanchaceae,,
Castilleja_campestris,Castilleja,Orobanchaceae,,
Cotula_coronopifolia,Cotula,Asteraceae,,
Cuscuta_howelliana,Cuscuta,Convolvulaceae,,
Deschampsia_danthoniodes,Deschampsia,Poaceae,,
Dichelostemma_capitatus,Dichelostemma,Asparagaceae,,
Downingia_bacigalupii,Downingia,Campanulaceae,,
Downingia_bicornuta,Downingia,Campanulaceae,,
Downingia_pulchella,Downingia,Campanulaceae,,
Eleocharis_bella,Eleocharis,Cyperaceae,,
Eleocharis_macrostachya,Eleocharis,Cyperaceae,,
Epilobium_densiflorum,Epilobium,Onagraceae,,
Erodium_botrys,Erodium,Geraniaceae,,
Erodium_cicutarium,Erodium,Geraniaceae,,
Eryngium_aristulatum,Eryngium,Apiaceae,,
Eryngium_mathiasiae,Eryngium,Apiaceae,,
Eschscholiza_lobbii,Eschscholiza,Papaveraceae,,
Festuca_perennis,Festuca,Poaceae,,
Grindelia_nana,Grindelia,Asteraceae,,
Hesperevax_caulescens,Hesperevax,Asteraceae,,
Hordeum_brachyantherum,Hordeum,Poaceae,,
Hypochaeris_glabra,Hypochaeris,Asteraceae,,
Juncus_bufonius,Juncus,Juncaceae,,
Juncus_hemiendytus,Juncus,Juncaceae,,
Lactuca_serriola,Lactuca,Asteraceae,,
Lasthenia_fremontii,Lasthenia,Asteraceae,,
Lepidium_nitidum,Lepidium,Brassicaceae,,
Limnanthes_douglasii,Limnanthes,Limnanthaceae,,
Marsilea_oligospora,Marsilea,Marsileaceae,,
Microsteris_gracilis,Microsteris,Polemoniaceae,,
Mimulus_tricolor,Mimulus,Phrymaceae,,
Muilla_maritima,Muilla,Asparagaceae,,
Navarretia_intertexta,Navarretia,Polemoniaceae,,
Navarretia_leucocephala,Navarretia,Polemoniaceae,,
Orcuttia_tenuis,Orcuttia,Poaceae,,
Pilularia_americana,Pilularia,Marsileaceae,,
Plagiobothrys_humistratus,Plagiobothrys,Boraginaceae,,
Plagiobothrys_nothofulvus,Plagiobothrys,Boraginaceae,,
Plagiobothrys_stipitatus,Plagiobothrys,Boraginaceae,,
Poa_secunda,Poa,Poaceae,,
Pogogyne_zizyphoroides,Pogogyne,Lamiaceae,,
Polygonum_polygaloides,Polygonum,Polygonaceae,,
Psilocarphus_brevissimus,Psilocarphus,Asteraceae,,
Psilocarphus_chilensis,Psilocarphus,Asteraceae,,
Psilocarphus_tenellus,Psilocarphus,Asteraceae,,
Ranunculus_occidentalis,Ranunculus,Ranunculaceae,,
Sanicula_bipinnatifida,Sanicula,Apiaceae,,
Senecio_vulgaris,Senecio,Asteraceae,,
Sidalcea_calycosa,Sidalcea,Malvaceae,,
Trifolium_depauparatum,Trifolium,Fabaceae,,
Trifolium_microcephalum,Trifolium,Fabaceae,,
Trifolium_variegatum,Trifolium,Fabaceae,,
Trifolium_willdenovii,Trifolium,Fabaceae,,
Triphysaria_eriantha,Triphysaria,Orobanchaceae,,
Triteleia_hyacinthina,Triteleia,Asparagaceae,,
Veronica_peregrina,Veronica,Plantaginaceae,,